3581806038,3581841173
3581857830,3581841341
3581902022,3581933833
3581953646,3582030285
3581998070,3582127033
3582049574,3582221133
3582093530,3582317337
3582146226,3582510133
3582189550,3582609177
3582242806,3582797557
3582285734,3582892085
3582338262,3582994509
3582382002,3582998181
3582434362,3583088497
3582477550,3583140685
3582530446,3583184761
3582573930,3583278677
3582625522,3583286673
3582670254,3583377409
3582722098,3583377577
3582765722,3583383237
3582818610,3583471085
3582861482,3583566537
3582914122,3583661081
3582957582,3583755485
3583009934,3583853365
3583053854,3583951857
3583105674,3583952025
3583150050,3584046097
3583201714,3584142909
3583245582,3584236077
3583298086,3584332725
3583341790,3584430845
3583394366,3584431013
3583437502,3584527145
3583490558,3584623309
3583533602,3584718717
3583586050,3584815037
3583629358,3584911037
3583682766,3585007525
3583724926,3585101065
3583778986,3585199041
3583821138,3585293697
3583874086,3585390093
3583917494,3585485485
3583970150,3585580737
3584014018,3585677165
3584066766,3585773557
3584109822,3585868465
3584161978,3585964817
3584205582,3586060089
3584259058,3586159557
3584301834,3586252817
3584354550,3586348665
3584397362,3586445501
3584449538,3586540885
3584493926,3586638477
3584546358,3586734897
3584589386,3586830121
3584642134,3586830289
3584685762,3586925521
3584738146,3587022357
3584781578,3587118929
3584834250,3587214633
3584877518,3587311865
3584929946,3587405089
3584973478,3587505093
3585026090,3587598465
3585069302,3587691729
3585122058,3587790481
3585165850,3587886465
3585218762,3587982881
3585261378,3588031713
3585314010,3588081749
3585357754,3588081917
3585409606,3588173545
3585453646,3588270957
3585506470,3588370717
3585549698,3588461197
3585602518,3588559085
3585645346,3588653017
3585698438,3588750817
3585741554,3588845425
3585794330,3588943053
3585836962,3589039385
3585890966,3589039553
3585933422,3589133125
3585986018,3589229337
3586029134,3589326857
3586082134,3589420597
3586125838,3589519765
3586177706,3589615537
3586221614,3589710345
3586274806,3589807165
3586317342,3589903513
3586370626,3589996733
3586413342,3590095097
3586467210,3590193505
3586509206,3590193673
3586562470,3590288901
3586605282,3590383749
3586658054,3590434733
3586701602,3590479589
3586753762,3590575601
3586797586,3590670133
3586849974,3590766269
